bets,hits,hit_rate,roi,profit,track,feature_set,threshold
163,82,0.5030674846625767,0.674437627811861,-5306.666666666666,kawasaki,V4_全部入り,0.1
123,72,0.5853658536585366,0.7555555555555556,-3006.666666666666,kawasaki,V4_全部入り,0.12
76,48,0.631578947368421,0.8140350877192981,-1413.333333333334,kawasaki,V4_全部入り,0.15
682,253,0.3709677419354839,0.5116324535679374,-33306.66666666667,kawasaki,V5_馬体重枠番,0.0
411,170,0.41362530413625304,0.53227899432279,-19223.333333333332,kawasaki,V5_馬体重枠番,0.03
319,138,0.43260188087774293,0.5438871473354232,-14550.0,kawasaki,V5_馬体重枠番,0.05
239,107,0.4476987447698745,0.5463040446304045,-10843.333333333332,kawasaki,V5_馬体重枠番,0.07
169,78,0.46153846153846156,0.529388560157791,-7953.333333333332,kawasaki,V5_馬体重枠番,0.1
134,63,0.4701492537313433,0.595273631840796,-5423.333333333334,kawasaki,V5_馬体重枠番,0.12
96,44,0.4583333333333333,0.5840277777777778,-3993.333333333333,kawasaki,V5_馬体重枠番,0.15
682,271,0.3973607038123167,0.5802541544477028,-28626.66666666667,kawasaki,V6_勝率重視,0.0
430,172,0.4,0.5141860465116279,-20890.0,kawasaki,V6_勝率重視,0.03
359,148,0.41225626740947074,0.5272980501392758,-16970.0,kawasaki,V6_勝率重視,0.05
302,119,0.39403973509933776,0.5245033112582781,-14360.000000000002,kawasaki,V6_勝率重視,0.07
230,92,0.4,0.5168115942028986,-11113.333333333334,kawasaki,V6_勝率重視,0.1
190,77,0.4052631578947368,0.5584210526315789,-8390.0,kawasaki,V6_勝率重視,0.12
131,50,0.3816793893129771,0.4396946564885496,-7340.0,kawasaki,V6_勝率重視,0.15
682,231,0.3387096774193548,0.5494134897360704,-30730.0,kawasaki,V7_ランク特化,0.0
197,85,0.43147208121827413,0.6274111675126903,-7340.0,kawasaki,V7_ランク特化,0.03
135,65,0.48148148148148145,0.6846913580246913,-4256.666666666668,kawasaki,V7_ランク特化,0.05
85,39,0.4588235294117647,0.5694117647058824,-3660.0,kawasaki,V7_ランク特化,0.07
47,19,0.40425531914893614,0.5553191489361702,-2090.0,kawasaki,V7_ランク特化,0.1
24,10,0.4166666666666667,0.6486111111111111,-843.3333333333333,kawasaki,V7_ランク特化,0.12
10,3,0.3,0.4966666666666667,-503.3333333333333,kawasaki,V7_ランク特化,0.15
682,262,0.3841642228739003,0.5841642228739002,-28360.0,kawasaki,V8_経験値,0.0
375,154,0.4106666666666667,0.5782222222222223,-15816.666666666664,kawasaki,V8_経験値,0.03
298,129,0.43288590604026844,0.5651006711409396,-12960.0,kawasaki,V8_経験値,0.05
242,107,0.44214876033057854,0.5615702479338843,-10610.0,kawasaki,V8_経験値,0.07
163,82,0.5030674846625767,0.674437627811861,-5306.666666666666,kawasaki,V8_経験値,0.1
123,72,0.5853658536585366,0.7555555555555556,-3006.666666666666,kawasaki,V8_経験値,0.12
76,48,0.631578947368421,0.8140350877192981,-1413.333333333334,kawasaki,V8_経験値,0.15
1023,508,0.4965786901270772,0.517367220593027,-49373.333333333336,ohi,V1_基本,0.0
772,387,0.5012953367875648,0.4870898100172711,-39596.66666666667,ohi,V1_基本,0.03
681,339,0.4977973568281938,0.463191385217817,-36556.666666666664,ohi,V1_基本,0.05
591,299,0.505922165820643,0.47270163564579815,-31163.33333333333,ohi,V1_基本,0.07
444,238,0.536036036036036,0.4692942942942943,-23563.333333333332,ohi,V1_基本,0.1
375,199,0.5306666666666666,0.46008888888888894,-20246.666666666664,ohi,V1_基本,0.12
274,154,0.5620437956204379,0.48236009732360097,-14183.333333333334,ohi,V1_基本,0.15
1023,477,0.4662756598240469,0.49635060280221577,-51523.33333333333,ohi,V2_相対ランク,0.0
778,372,0.4781491002570694,0.4928449014567266,-39456.66666666667,ohi,V2_相対ランク,0.03
661,323,0.4886535552193646,0.48769541099344427,-33863.33333333333,ohi,V2_相対ランク,0.05
565,281,0.49734513274336284,0.4965781710914455,-28443.333333333332,ohi,V2_相対ランク,0.07
