bets,hits,hit_rate,roi,profit,track,feature_type,threshold,train_ratio
94,42,0.44680851063829785,0.9882978723404255,-110.0,kawasaki,rank,0.02,0.7
134,58,0.43283582089552236,0.7940298507462686,-2760.0,kawasaki,rank,0.03,0.5
111,44,0.3963963963963964,0.9447447447447447,-613.3333333333339,kawasaki,rank,0.03,0.6
88,37,0.42045454545454547,0.9795454545454545,-180.0,kawasaki,rank,0.03,0.7
106,46,0.4339622641509434,0.7679245283018868,-2460.0,kawasaki,rank,0.05,0.5
85,36,0.4235294117647059,0.9509803921568627,-416.66666666666697,kawasaki,rank,0.05,0.6
75,32,0.4266666666666667,0.8488888888888889,-1133.333333333333,kawasaki,rank,0.05,0.7
71,32,0.4507042253521127,0.8169014084507041,-1300.000000000001,kawasaki,rank,0.07,0.5
71,32,0.4507042253521127,1.063849765258216,453.33333333333303,kawasaki,rank,0.07,0.6
61,24,0.39344262295081966,0.755191256830601,-1493.333333333334,kawasaki,rank,0.07,0.7
50,24,0.48,0.9106666666666667,-446.66666666666606,kawasaki,rank,0.1,0.5
57,25,0.43859649122807015,0.9725146198830409,-156.66666666666697,kawasaki,rank,0.1,0.6
36,15,0.4166666666666667,0.812037037037037,-676.666666666667,kawasaki,rank,0.1,0.7
29,14,0.4827586206896552,0.8241379310344827,-510.0,kawasaki,rank,0.15,0.5
32,13,0.40625,1.0260416666666665,83.33333333333303,kawasaki,rank,0.15,0.6
21,9,0.42857142857142855,0.7873015873015873,-446.66666666666674,kawasaki,rank,0.15,0.7
15,8,0.5333333333333333,1.08,120.0,kawasaki,rank,0.2,0.5
22,10,0.45454545454545453,1.1696969696969695,373.33333333333303,kawasaki,rank,0.2,0.6
12,5,0.4166666666666667,0.986111111111111,-16.666666666666742,kawasaki,rank,0.2,0.7
231,86,0.3722943722943723,0.7542568542568542,-5676.666666666668,kawasaki,relative,0.0,0.5
185,72,0.3891891891891892,0.8884684684684684,-2063.3333333333358,kawasaki,relative,0.0,0.6
139,56,0.4028776978417266,0.8611510791366906,-1930.0,kawasaki,relative,0.0,0.7
165,65,0.3939393939393939,0.715959595959596,-4686.666666666666,kawasaki,relative,0.02,0.5
