bets,hits,hit_rate,roi,profit,track,feature_type,threshold,train_ratio,score
179,84,0.4692737430167598,0.7309124767225326,-4816.666666666666,ohi,basic,0.1,0.5,3.795596953397407
145,64,0.4413793103448276,0.644367816091954,-5156.666666666666,ohi,basic,0.1,0.6,3.2112757150916016
102,47,0.46078431372549017,0.7725490196078432,-2320.0,ohi,basic,0.1,0.7,3.580555336004856
151,72,0.4768211920529801,0.7379690949227373,-3956.666666666666,ohi,basic,0.12,0.5,3.7074685609688967
124,58,0.46774193548387094,0.6704301075268818,-4086.666666666666,ohi,basic,0.12,0.6,3.2370468980731024
88,40,0.45454545454545453,0.8037878787878788,-1726.666666666666,ohi,basic,0.12,0.7,3.6079115062771216
116,57,0.49137931034482757,0.692816091954023,-3563.333333333333,ohi,basic,0.15,0.5,3.299310734711894
89,44,0.4943820224719101,0.700749063670412,-2663.333333333333,ohi,basic,0.15,0.6,3.1532374131789984
74,36,0.4864864864864865,0.863963963963964,-1006.6666666666661,ohi,basic,0.15,0.7,3.7301541449381275
68,33,0.4852941176470588,0.7014705882352941,-2030.0,ohi,basic,0.2,0.5,2.9701011804307247
55,30,0.5454545454545454,0.8103030303030303,-1043.333333333333,ohi,basic,0.2,0.6,3.2617546730381184
50,25,0.5,0.922,-390.0,ohi,basic,0.2,0.7,3.6251432333718285
353,166,0.4702549575070821,0.8370160528800755,-5753.333333333332,ohi,relative,0.0,0.5,4.912695735412443
283,129,0.4558303886925795,0.7356890459363957,-7480.0,ohi,relative,0.0,0.6,4.155888467792096
212,91,0.42924528301886794,0.6676100628930818,-7046.666666666666,ohi,relative,0.0,0.7,3.579252599937456
296,141,0.47635135135135137,0.8042792792792793,-5793.333333333332,ohi,relative,0.03,0.5,4.579350781005505
236,108,0.4576271186440678,0.7300847457627119,-6370.0,ohi,relative,0.03,0.6,3.992147297955861
171,70,0.4093567251461988,0.5945419103313839,-6933.333333333334,ohi,relative,0.03,0.7,3.0604011996649176
257,126,0.490272373540856,0.8212710765239949,-4593.333333333332,ohi,relative,0.05,0.5,4.560485096202813
195,89,0.4564102564102564,0.6813675213675213,-6213.333333333334,ohi,relative,0.05,0.6,3.5963359028534767
152,64,0.42105263157894735,0.6155701754385965,-5843.333333333334,ohi,relative,0.05,0.7,3.0965875538045102
224,108,0.48214285714285715,0.8206845238095237,-4016.666666666668,ohi,relative,0.07,0.5,4.444909779487705
167,74,0.4431137724550898,0.6497005988023952,-5850.0,ohi,relative,0.07,0.6,3.329042465660201
134,58,0.43283582089552236,0.6402985074626866,-4820.0,ohi,relative,0.07,0.7,3.140840119328487
181,82,0.4530386740331492,0.7626151012891345,-4296.666666666666,ohi,relative,0.1,0.5,3.968654086774403
126,52,0.4126984126984127,0.5825396825396826,-5260.0,ohi,relative,0.1,0.6,2.8219312075084177
108,49,0.4537037037037037,0.6601851851851852,-3670.0,ohi,relative,0.1,0.7,3.0971583703975734
